Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Guenet et al. (2014);Guenet et al. (2014)_49;CO2;3;1.25;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_50;CO2;3;0.89;yes;negative;yes;Lab;Lake;added;Glucose;NP;20;2;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_51;CO2;3;1.37;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;8;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_52;CO2;3;1.37;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;15;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_53;CO2;3;1.44;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;22;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_54;CO2;3;1.27;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;29;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_55;CO2;3;1.58;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;30;4;NA;120;NA;NA
Guenet et al. (2014);Guenet et al. (2014)_56;CO2;3;1.34;yes;positive;yes;Lab;Lake;added;Glucose;NP;20;45;4;NA;120;NA;NA
Halvorson et al. (2016);Halvorson et al. (2016)_1;POC removed;3;2.31;yes;Positive;yes;Lab;River/Stream;added;Algal;Nitrogen;10;134;NA;NA;NA;NA;NA
Halvorson et al. (2016);Halvorson et al. (2016)_2;POC removed;3;0.88;yes;negative;yes;Lab;River/Stream;added;Algal;NP;10;134;NA;NA;NA;NA;NA
Halvorson et al. (2016);Halvorson et al. (2016)_3;POC removed;3;0.19;yes;negative;yes;Lab;River/Stream;added;Algal;NP;10;134;NA;NA;NA;NA;NA
Halvorson et al. (2019);Halvorson et al. (2019)_1;POC removed;4;0.19;yes;negative;yes;Field;River/Stream;added;Algal;none;25.5;43;7.9;NA;NA;NA;NA
Halvorson et al. (2019);Halvorson et al. (2019)_2;POC removed;4;0.38;yes;negative;yes;Field;River/Stream;added;Algal;none;25.5;43;7.9;NA;NA;NA;NA
Hannides & Aller (2016) ;Hannides&Aller2016_1;CO2;3;1.10;yes;positive;yes;Lab;Marine/Sea;added;Other;none;14;12;NA;NA;NA;NA;NA
Koehler et al. (2012);Koehler et al. (2012)_1;DOC degradation;2;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;2.12;2;1.06;NA
Koehler et al. (2012);Koehler et al. (2012)_2;DOC degradation;2;0.96;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;2.12;2;1.06;NA
Koehler et al. (2012);Koehler et al. (2012)_3;DOC degradation;2;1.26;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;2.12;2;1.06;NA
Koehler et al. (2012);Koehler et al. (2012)_4;DOC degradation;2;0.97;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;2.12;2;1.06;NA
Koehler et al. (2012);Koehler et al. (2012)_5;DOC degradation;2;0.95;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;2.12;2;1.06;NA
Koehler et al. (2012);Koehler et al. (2012)_6;DOC degradation;2;1.03;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;3.97;2;1.99;NA
Koehler et al. (2012);Koehler et al. (2012)_7;DOC degradation;2;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;3.97;2;1.99;NA
Koehler et al. (2012);Koehler et al. (2012)_8;DOC degradation;2;1.03;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;3.97;2;1.99;NA
Koehler et al. (2012);Koehler et al. (2012)_9;DOC degradation;2;0.96;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;3.97;2;1.99;NA
Koehler et al. (2012);Koehler et al. (2012)_10;DOC degradation;2;0.82;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;3.97;2;1.99;NA
Koehler et al. (2012);Koehler et al. (2012)_11;DOC degradation;2;0.97;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;7.84;2;3.92;NA
Koehler et al. (2012);Koehler et al. (2012)_12;DOC degradation;2;1.05;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;7.84;2;3.92;NA
Koehler et al. (2012);Koehler et al. (2012)_13;DOC degradation;2;1.06;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;7.84;2;3.92;NA
Koehler et al. (2012);Koehler et al. (2012)_14;DOC degradation;2;0.94;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;7.84;2;3.92;NA
Koehler et al. (2012);Koehler et al. (2012)_15;DOC degradation;2;1.01;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;7.84;2;3.92;NA
Koehler et al. (2012);Koehler et al. (2012)_16;DOC degradation;2;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;11.85;2;5.93;NA
Koehler et al. (2012);Koehler et al. (2012)_17;DOC degradation;2;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;11.85;2;5.93;NA
Koehler et al. (2012);Koehler et al. (2012)_18;DOC degradation;2;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;11.85;2;5.93;NA
Koehler et al. (2012);Koehler et al. (2012)_19;DOC degradation;2;1.05;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;11.85;2;5.93;NA
Koehler et al. (2012);Koehler et al. (2012)_20;DOC degradation;2;0.99;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_21;DOC degradation;2;1.02;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_22;DOC degradation;2;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_23;DOC degradation;2;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_24;DOC degradation;2;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_25;DOC degradation;2;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;19.98;2;9.99;NA
Koehler et al. (2012);Koehler et al. (2012)_26;DOC degradation;2;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;68;5.3;31.47;2;15.74;NA
Koehler et al. (2012);Koehler et al. (2012)_27;DOC degradation;2;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;552;5.3;31.47;2;15.74;NA
Koehler et al. (2012);Koehler et al. (2012)_28;DOC degradation;2;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;786;5.3;31.47;2;15.74;NA
Koehler et al. (2012);Koehler et al. (2012)_29;DOC degradation;2;1.06;no;not;no;Lab;Lake;none;Glucose;NP;20;1299;5.3;31.47;2;15.74;NA
Koehler et al. (2012);Koehler et al. (2012)_30;DOC degradation;3;0.98;no;not;no;Lab;Lake;none;Glucose;NP;20;1342;5.3;31.47;2;15.74;NA
Koehler et al. (2012);Koehler et al. (2012)_31;DOC degradation;3;1.02;no;not;no;Lab;Lake;none;Glucose;NP;20;232;6.8;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_32;DOC degradation;3;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;383;6.8;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_33;DOC degradation;3;1.21;no;not;no;Lab;Lake;none;Glucose;NP;20;811;6.8;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_34;DOC degradation;3;1.22;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;6.8;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_35;DOC degradation;3;1.33;no;not;no;Lab;Lake;none;Glucose;NP;20;232;6.73;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_36;DOC degradation;3;1.19;no;not;no;Lab;Lake;none;Glucose;NP;20;383;6.73;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_37;DOC degradation;3;1.19;no;not;no;Lab;Lake;none;Glucose;NP;20;811;6.73;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_38;DOC degradation;3;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;6.73;14.63;0.5;29.26;NA
Koehler et al. (2012);Koehler et al. (2012)_39;DOC degradation;3;1.0;no;not;no;Lab;Lake;none;Glucose;NP;20;232;8.02;15.84;0.5;31.68;NA
Koehler et al. (2012);Koehler et al. (2012)_40;DOC degradation;3;0.97;no;not;no;Lab;Lake;none;Glucose;NP;20;383;8.02;15.84;0.5;31.68;NA
Koehler et al. (2012);Koehler et al. (2012)_41;DOC degradation;3;1.05;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;8.02;15.84;0.5;31.68;NA
Koehler et al. (2012);Koehler et al. (2012)_42;DOC degradation;3;1.03;no;not;no;Lab;Lake;none;Glucose;NP;20;232;7;15.84;2;7.92;NA
Koehler et al. (2012);Koehler et al. (2012)_43;DOC degradation;3;1.02;no;not;no;Lab;Lake;none;Glucose;NP;20;383;7;15.84;2;7.92;NA
Koehler et al. (2012);Koehler et al. (2012)_44;DOC degradation;3;1.05;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;7;15.84;2;7.92;NA
Koehler et al. (2012);Koehler et al. (2012)_45;DOC degradation;3;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;232;6.74;15.09;2;7.55;NA
Koehler et al. (2012);Koehler et al. (2012)_46;DOC degradation;3;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;383;6.74;15.09;2;7.55;NA
Koehler et al. (2012);Koehler et al. (2012)_47;DOC degradation;3;1.07;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;6.74;15.09;2;7.55;NA
Koehler et al. (2012);Koehler et al. (2012)_48;DOC degradation;3;1.02;no;not;no;Lab;Lake;none;Glucose;NP;20;232;7;20;2;10;NA
Koehler et al. (2012);Koehler et al. (2012)_49;DOC degradation;3;1.04;no;not;no;Lab;Lake;none;Glucose;NP;20;383;7;20;2;10;NA
Koehler et al. (2012);Koehler et al. (2012)_50;DOC degradation;3;1.03;no;not;no;Lab;Lake;none;Glucose;NP;20;1267;7;20;2;10;NA
Kuehn et al. (2014);Kuehn_1;Bacterial growth;5;1.55;yes;positive;no;Field;Wetland;none;Algal;none;20;35;7.8;NA;NA;NA;NA
Kuehn et al. (2014);Kuehn_2;Bacterial growth;5;1.34;yes;positive;no;Field;Wetland;none;Algal;none;20;35;7.8;NA;NA;NA;NA
Morling et al. (2017);Morling et al. (2017)_1;DOC degradation;3;6.2;yes;positive;yes;Lab;reservoir inflow/outflow ;none;Algal;NP;15;50;NA;5.0;NA;NA;669.17
Morling et al. (2017);Morling et al. (2017)_2;DOC degradation;3;0.89;yes;positive;yes;Lab;reservoir inflow/outflow ;none;Algal;NP;15;36;NA;5.0;NA;NA;289.46
Rier et al. (2014);Rier_1;extracellular enzyme activities;5;2.76;yes;positive;no;Field;River/Stream;none;Algal;none;18.6;21;4.49;13;NA;NA;NA
Rier et al. (2014);Rier_2;extracellular enzyme activities;5;4.24;yes;positive;no;Field;River/Stream;none;Algal;Phosphorous;18.6;21;4.49;NA;NA;NA;NA
Rier et al. (2014);Rier_3;extracellular enzyme activities;5;2.19;yes;positive;no;Field;River/Stream;none;Algal;none;18.6;21;4.49;NA;NA;NA;NA
Rier et al. (2014);Rier_4;extracellular enzyme activities;5;2.7;yes;positive;no;Field;River/Stream;none;Algal;Phosphorous;18.6;21;4.49;NA;NA;NA;NA
Rier et al. (2014);Rier_5;extracellular enzyme activities;5;4.16;yes;positive;no;Field;River/Stream;none;Algal;none;14.6;21;6.19;2.3;NA;NA;NA
Rier et al. (2014);Rier_6;extracellular enzyme activities;5;2.57;yes;positive;no;Field;River/Stream;none;Algal;Phosphorous;14.6;21;6.19;NA;NA;NA;NA
Rier et al. (2014);Rier_7;extracellular enzyme activities;5;2.14;yes;positive;no;Field;River/Stream;none;Algal;none;14.6;21;6.19;NA;NA;NA;NA
Rier et al. (2014);Rier_8;extracellular enzyme activities;5;3.84;yes;positive;no;Field;River/Stream;none;Algal;Phosphorous;14.6;21;6.19;NA;NA;NA;NA
Rosel et al. (2012);Rosel_1;Bacterial growth;3;86.53;yes;positive;no;Lab;Lake;none;Other;none;18;2;8.7;8.2;NA;NA;92.29
Rosel et al. (2012);Rosel_2;Bacterial growth;3;4.17;yes;positive;no;Lab;Lake;none;Other;none;18;3;8.7;NA;NA;NA;92.29
Rosel et al. (2012);Rosel_3;Bacterial growth;3;2.89;yes;positive;no;Lab;Lake;none;Other;none;18;5;8.7;NA;NA;NA;92.29
Rosel et al. (2012);Rosel_4;Bacterial growth;3;1.34;yes;positive;no;Lab;Lake;none;Other;none;18;10;8.7;NA;NA;NA;92.29
Rosel et al. (2012);Rosel_5;Bacterial growth;3;2.35;yes;positive;no;Lab;Lake;none;Other;none;18;16;8.7;NA;NA;NA;92.29
Rosel et al. (2012);Rosel_6;Bacterial growth;3;4.48;yes;positive;no;Lab;Lake;none;Other;none;18;2;6.1;33.8;NA;NA;275.79
Rosel et al. (2012);Rosel_7;Bacterial growth;3;3.81;yes;positive;no;Lab;Lake;none;Other;none;18;3;6.1;NA;NA;NA;275.79
Rosel et al. (2012);Rosel_8;Bacterial growth;3;2.51;yes;positive;no;Lab;Lake;none;Other;none;18;5;6.1;NA;NA;NA;275.79
Rosel et al. (2012);Rosel_9;Bacterial growth;3;2.52;yes;positive;no;Lab;Lake;none;Other;none;18;10;6.1;NA;NA;NA;275.79
Rosel et al. (2012);Rosel_10;Bacterial growth;3;7.39;yes;positive;no;Lab;Lake;none;Other;none;18;16;6.1;NA;NA;NA;275.79
Rosel et al. (2012);Rosel_11;Bacterial growth;3;6.08;yes;positive;no;Lab;Lake;none;Other;none;18;2;4.6;70.2;NA;NA;512.24
Rosel et al. (2012);Rosel_12;Bacterial growth;3;8.79;yes;positive;no;Lab;Lake;none;Other;none;18;3;4.6;NA;NA;NA;512.24
Rosel et al. (2012);Rosel_13;Bacterial growth;3;3.47;yes;positive;no;Lab;Lake;none;Other;none;18;5;4.6;NA;NA;NA;512.24
Rosel et al. (2012);Rosel_14;Bacterial growth;3;8.46;yes;positive;no;Lab;Lake;none;Other;none;18;10;4.6;NA;NA;NA;512.24
Rosel et al. (2012);Rosel_15;Bacterial growth;3;7.86;yes;positive;no;Lab;Lake;none;Other;none;18;16;4.6;NA;NA;NA;512.24
Soares et al. (2017);Soares et al. (2017)_1;POC removed;3;1.07;no;not;yes;Lab;Lagoon (pond);added;Algal;none;22;4;7.8;NA;NA;NA;41.1
Soares et al. (2017);Soares et al. (2017)_2;POC removed;3;0.97;no;not;yes;Lab;Lagoon (pond);added;Algal;none;22;7;7.8;NA;NA;NA;41.1
Soares et al. (2017);Soares et al. (2017)_3;POC removed;3;0.87;no;not;yes;Lab;Lagoon (pond);added;Algal;none;22;10;7.8;NA;NA;NA;41.1
Soares et al. (2017);Soares et al. (2017)_4;POC removed;3;0.95;no;not;yes;Lab;Lagoon (pond);added;Algal;none;22;14;7.8;NA;NA;NA;41.1
Soares et al. (2017);Soares et al. (2017)_5;POC removed;3;0.97;no;not;yes;Lab;Lagoon (pond);added;Algal;none;22;16;7.8;NA;NA;NA;41.1
Soares et al. (2017);Soares et al. (2017)_6;POC removed;4;0.87;no;not;yes;Lab;Lagoon (pond);added;Glucose;none;22;4;7.8;NA;NA;NA;57.3
Soares et al. (2017);Soares et al. (2017)_7;POC removed;4;0.99;no;not;yes;Lab;Lagoon (pond);added;Glucose;none;22;7;7.8;NA;NA;NA;57.3
Soares et al. (2017);Soares et al. (2017)_8;POC removed;4;0.89;no;not;yes;Lab;Lagoon (pond);added;Glucose;none;22;14;7.8;NA;NA;NA;57.3
Soares et al. (2017);Soares et al. (2017)_9;POC removed;4;0.90;no;not;yes;Lab;Lagoon (pond);added;Glucose;none;22;17;7.8;NA;NA;NA;57.3
Soares et al. (2017);Soares et al. (2017)_10;POC removed;4;0.94;no;not;yes;Lab;Lagoon (pond);added;Glucose;none;22;23;7.8;NA;NA;NA;57.3
Steen et al. (2016);Steen et al. (2016)_1;CO2;5;0.78;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;1;8.1;6.0;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_2;CO2;5;0.81;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;2;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_3;CO2;5;0.84;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;3;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_4;CO2;5;0.86;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;6;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_5;CO2;5;0.83;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;8;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_6;CO2;5;0.86;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;14;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_7;CO2;5;0.87;yes;positive;yes;Lab;Marine/Sea;added;Other;none;25;22;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_8;CO2;5;0.86;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;27;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_9;CO2;5;0.88;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;30;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_10;CO2;5;0.87;yes;negative;yes;Lab;Marine/Sea;added;Other;none;25;36;8.1;NA;NA;NA;263.66
Steen et al. (2016);Steen et al. (2016)_11;CO2;5;1.73;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;1;8.1;6.0;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_12;CO2;5;1.81;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;2;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_13;CO2;5;1.84;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;3;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_14;CO2;5;1.73;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;6;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_15;CO2;5;1.45;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;8;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_16;CO2;5;1.37;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;10;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_17;CO2;5;1.26;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;14;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_18;CO2;5;1.15;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;20;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_19;CO2;5;1.14;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;22;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_20;CO2;5;1.06;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;27;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_21;CO2;5;1.05;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;30;8.1;NA;NA;NA;340.95
Steen et al. (2016);Steen et al. (2016)_22;CO2;5;1.04;yes;positive;yes;Lab;Marine/Sea;added;Other;Phosphorous;25;36;8.1;NA;NA;NA;340.95
Stutter & Cains (2015);Stutter & Cains (2015)_1;Bacterial respiration;4;2.38;no;not;no;Lab;River/Stream;added;Other;none;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_2;Bacterial respiration;4;1.85;no;not;no;Lab;River/Stream;added;Other;none;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_3;Bacterial respiration;4;1.62;no;not;no;Lab;River/Stream;added;Other;none;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_4;Bacterial respiration;4;0.63;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_5;Bacterial respiration;4;0.14;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_6;Bacterial respiration;4;2.38;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_7;Bacterial respiration;4;1.85;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_8;Bacterial respiration;4;1.63;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_9;Bacterial respiration;4;0.63;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_10;Bacterial respiration;4;0.14;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_11;Bacterial respiration;4;2.00;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_12;Bacterial respiration;4;1.53;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_13;Bacterial respiration;4;1.37;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_14;Bacterial respiration;4;0.69;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_15;Bacterial respiration;4;0.3;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_16;Bacterial respiration;4;1.68;no;not;no;Lab;River/Stream;added;Other;NP;15;1;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_17;Bacterial respiration;4;1.15;no;not;no;Lab;River/Stream;added;Other;NP;15;2;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_18;Bacterial respiration;4;1.11;no;not;no;Lab;River/Stream;added;Other;NP;15;3;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_19;Bacterial respiration;4;0.57;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_20;Bacterial respiration;4;0.2;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;NA;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_21;Bacterial respiration;4;2.84;no;not;no;Lab;River/Stream;added;Other;none;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_22;Bacterial respiration;4;2.57;no;not;no;Lab;River/Stream;added;Other;none;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_23;Bacterial respiration;4;2.31;no;not;no;Lab;River/Stream;added;Other;none;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_24;Bacterial respiration;4;1.69;no;not;no;Lab;River/Stream;added;Other;none;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_25;Bacterial respiration;4;1.75;no;not;no;Lab;River/Stream;added;Other;none;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_26;Bacterial respiration;4;2.84;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_27;Bacterial respiration;4;2.57;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_28;Bacterial respiration;4;2.31;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_29;Bacterial respiration;4;1.69;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_30;Bacterial respiration;4;1.75;no;not;no;Lab;River/Stream;added;Other;Nitrogen;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_31;Bacterial respiration;4;2.25;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_32;Bacterial respiration;4;2.00;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_33;Bacterial respiration;4;1.73;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_34;Bacterial respiration;4;1.65;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_35;Bacterial respiration;4;1.69;no;not;no;Lab;River/Stream;added;Other;Phosphorous;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_36;Bacterial respiration;4;1.92;no;not;no;Lab;River/Stream;added;Other;NP;15;1;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_37;Bacterial respiration;4;1.52;no;not;no;Lab;River/Stream;added;Other;NP;15;2;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_38;Bacterial respiration;4;1.50;no;not;no;Lab;River/Stream;added;Other;NP;15;3;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_39;Bacterial respiration;4;1.32;no;not;no;Lab;River/Stream;added;Other;NP;15;7.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_40;Bacterial respiration;4;1.37;no;not;no;Lab;River/Stream;added;Other;NP;15;15.7;9.0;NA;346.0;NA;NA
Stutter & Cains (2015);Stutter & Cains (2015)_41;Bacterial respiration;4;4.73;no;not;no;Lab;River/Stream;added;Other;none;15;1;9.1;NA;346.0;NA;NA
