Source;ID;PEMEASURED;REPLICATES;PEF;PE occurrence;PE TYPE;Objective was evaluate PE;EXPERIMENT;ECOSYSTEM;POC;LOM;NUTRIENT;TEMP;TIME;pH;DOCI;DOCP;DOCIDOCP;RMRT
Catalan et al. (2015);Catalan et al. (2015)_5;DOC degradation;4;1.23;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_6;DOC degradation;4;1.22;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_7;DOC degradation;4;1.18;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_8;DOC degradation;4;1.08;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1072.77
Catalan et al. (2015);Catalan et al. (2015)_13;DOC degradation;4;0.96;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.00445;2247.19;743.34
Catalan et al. (2015);Catalan et al. (2015)_14;DOC degradation;4;0.96;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.00178;5617.9;743.34
Catalan et al. (2015);Catalan et al. (2015)_15;DOC degradation;4;0.95;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.089;112.35;743.34
Catalan et al. (2015);Catalan et al. (2015)_16;DOC degradation;4;0.91;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.445;22.47;743.34
Catalan et al. (2015);Catalan et al. (2015)_17;DOC degradation;4;0.77;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.00445;2247.19;743.34
Catalan et al. (2015);Catalan et al. (2015)_18;DOC degradation;4;0.79;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.00178;5617.9;743.34
Catalan et al. (2015);Catalan et al. (2015)_19;DOC degradation;4;0.83;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.089;112.35;743.34
Catalan et al. (2015);Catalan et al. (2015)_20;DOC degradation;4;0.93;no;not;yes;Lab;River/Stream;none;Other;none;15;35;NA;10;0.445;22.47;743.34
Catalan et al. (2015);Catalan et al. (2015)_25;DOC degradation;4;1.08;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_26;DOC degradation;4;1.07;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_27;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_28;DOC degradation;4;0.89;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_29;DOC degradation;4;1.11;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_30;DOC degradation;4;1.09;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_31;DOC degradation;4;0.97;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_32;DOC degradation;4;0.79;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1205.26
Catalan et al. (2015);Catalan et al. (2015)_37;DOC degradation;4;0.94;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00209;2000.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_38;DOC degradation;4;0.93;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00836;500.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_39;DOC degradation;4;0.88;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.0418;100.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_40;DOC degradation;4;0.72;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.209;20.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_41;DOC degradation;4;0.78;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00209;2000.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_42;DOC degradation;4;0.79;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00836;500.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_43;DOC degradation;4;0.79;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.0418;100.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_44;DOC degradation;4;0.77;yes;negative;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.209;20.0;843.68
Catalan et al. (2015);Catalan et al. (2015)_49;DOC degradation;4;0.92;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.00209;2000.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_50;DOC degradation;4;0.91;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.00836;500.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_51;DOC degradation;4;0.87;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.0418;100.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_52;DOC degradation;4;0.72;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.209;20.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_53;DOC degradation;4;1.01;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.00209;2000.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_54;DOC degradation;4;1.0;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.00836;500.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_55;DOC degradation;4;0.97;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.0418;100.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_56;DOC degradation;4;0.84;yes;negative;yes;Lab;Lake;none;Other;none;15;35;NA;4.18;0.209;20.0;648.92
Catalan et al. (2015);Catalan et al. (2015)_61;DOC degradation;4;0.96;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00209;2000.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_62;DOC degradation;4;0.95;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00836;500.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_63;DOC degradation;4;0.9;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.0418;100.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_64;DOC degradation;4;0.74;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.209;20.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_65;DOC degradation;4;1.01;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00209;2000.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_66;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.00836;500.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_67;DOC degradation;4;0.94;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.0418;100.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_68;DOC degradation;4;0.74;no;not;yes;Lab;Lake;none;Other;NP;15;35;NA;4.18;0.209;20.0;626.63
Catalan et al. (2015);Catalan et al. (2015)_73;DOC degradation;4;1.0;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_74;DOC degradation;4;0.99;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_75;DOC degradation;4;0.88;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
Catalan et al. (2015);Catalan et al. (2015)_76;DOC degradation;4;0.61;no;not;yes;Lab;Lake;none;Other;none;15;35;NA;NA;NA;NA;1375.31
